expert_original,simple_original,e_to_s,restored_telugu,direct_telugu,lay_telugu,restored_hindi,direct_hindi,lay_hindi
"A silent stroke typically affects regions of the brain associated with various thought processes, mood regulation and cognitive functions and is a leading cause of vascular cognitive impairment and may also lead to a loss of urinary bladder control.","A silent stroke usually happens in parts of the brain that control different thought processes, mood regulation and cognitive functions and is a leading cause of vascular cognitive impairment and may also lead to a loss of urinary bladder control.","A silent stroke can affect your thinking, feelings and how you do things, and it may make you lose control of your bladder.","సైలెంట్ స్ట్రోక్ సాధారణంగా వివిధ ఆలోచనా ప్రక్రియలు, మూడ్ రెగ్యులేషన్ మరియు కాగ్నిటివ్ ఫంక్షన్‌లతో సంబంధం ఉన్న మెదడులోని ప్రాంతాలను ప్రభావితం చేస్తుంది మరియు వాస్కులర్ పరిస్థితికి ప్రధాన కారణం, ఒక వ్యక్తి ఆలోచించే మరియు నేర్చుకునే సామర్థ్యంతో సమస్యలను కలిగి ఉంటాడు మరియు మూత్రాశయ నియంత్రణ కోల్పోవడానికి కూడా దారితీయవచ్చు.","సైలెంట్ స్ట్రోక్ సాధారణంగా మెదడులోని భాగాలలో వివిధ ఆలోచనా ప్రక్రియలు, మూడ్ రెగ్యులేషన్ మరియు కాగ్నిటివ్ ఫంక్షన్‌లను నియంత్రిస్తుంది మరియు వాస్కులర్ కాగ్నిటివ్ బలహీనతకు ప్రధాన కారణం మరియు మూత్రాశయ నియంత్రణ కోల్పోవడానికి కూడా దారితీయవచ్చు.","నిశ్శబ్ద స్ట్రోక్ మీ ఆలోచన, భావాలు మరియు మీరు చేసే పనులను ప్రభావితం చేయవచ్చు మరియు ఇది మీ మూత్రాశయంపై నియంత్రణను కోల్పోయేలా చేస్తుంది.","साइलेंट स्ट्रोक आम तौर पर विभिन्न विचार प्रक्रियाओं, मनोदशा विनियमन और संज्ञानात्मक कार्यों से जुड़े मस्तिष्क के क्षेत्रों को प्रभावित करता है और यह संवहनी का एक प्रमुख कारण है, एक ऐसी स्थिति जहां व्यक्ति को सोचने और सीखने की क्षमता में समस्याएं होती हैं और मूत्राशय पर नियंत्रण का नुकसान भी हो सकता है।","साइलेंट स्ट्रोक आमतौर पर मस्तिष्क के उन हिस्सों में होता है जो विभिन्न विचार प्रक्रियाओं, मूड विनियमन और संज्ञानात्मक कार्यों को नियंत्रित करते हैं और यह संवहनी संज्ञानात्मक हानि का एक प्रमुख कारण है और इससे मूत्राशय पर नियंत्रण भी खत्म हो सकता है।","एक मूक स्ट्रोक आपकी सोच, भावनाओं और आपके काम करने के तरीके को प्रभावित कर सकता है, और इससे आप अपने मूत्राशय पर नियंत्रण खो सकते हैं।"
"In October 2011 , he retired from active broadcasting following a stroke , but still maintained a role at Family Radio .","In 2011 he retired from active broadcasting following a stroke , but maintained a role at Family Radio until his death .
","In October 2011 , he retired from active broadcasting because of a stroke .","అక్టోబరు 2011 లో, అతను స్ట్రోక్ కారణంగా క్రియాశీల ప్రసారం నుండి రిటైర్ అయ్యాడు, కానీ ఇప్పటికీ ఫ్యామిలీ రేడియోలో పాత్రను కొనసాగించాడు.","2011 లో అతను స్ట్రోక్ కారణంగా క్రియాశీల ప్రసారాల నుండి విరమించుకున్నాడు, కానీ అతను మరణించే వరకు ఫ్యామిలీ రేడియోలో పాత్రను కొనసాగించాడు.","అక్టోబర్ 2011 లో, అతను స్ట్రోక్ కారణంగా క్రియాశీల ప్రసారం నుండి రిటైర్ అయ్యాడు.","अक्टूबर 2011 में, स्ट्रोक के बाद उन्होंने सक्रिय प्रसारण से संन्यास ले लिया, लेकिन फिर भी फैमिली रेडियो में भूमिका बरकरार रखी।","2011 में स्ट्रोक के बाद उन्होंने सक्रिय प्रसारण से संन्यास ले लिया, लेकिन अपनी मृत्यु तक फैमिली रेडियो में भूमिका बनाए रखी।","अक्टूबर 2011 में, स्ट्रोक के कारण उन्होंने सक्रिय प्रसारण से संन्यास ले लिया।"
Much research has been devoted to the design and synthesis of new reagents and catalysts that can effect C-H activation .,Much chemical research looks at the design and synthesis of new reagents and catalysts that can affect C-H activation .,Many scientists are working on developing new materials that can help turn hydrogen into energy,C-H క్రియాశీలతను ప్రభావితం చేసే కొత్త కారకాలు మరియు ఉత్ప్రేరకాల రూపకల్పన మరియు సంశ్లేషణకు చాలా పరిశోధనలు అంకితం చేయబడ్డాయి.,C-H క్రియాశీలతను ప్రభావితం చేసే కొత్త కారకాలు మరియు ఉత్ప్రేరకాల రూపకల్పన మరియు సంశ్లేషణపై చాలా రసాయన పరిశోధనలు చూస్తాయి.,చాలా మంది శాస్త్రవేత్తలు హైడ్రోజన్‌ను శక్తిగా మార్చడంలో సహాయపడే కొత్త పదార్థాలను అభివృద్ధి చేయడానికి కృషి చేస్తున్నారు,बहुत सारे शोध नए अभिकर्मकों और उत्प्रेरकों के डिजाइन और संश्लेषण के लिए समर्पित किए गए हैं जो सी-एच सक्रियण को प्रभावित कर सकते हैं।,अधिकांश रासायनिक अनुसंधान नए अभिकर्मकों और उत्प्रेरकों के डिजाइन और संश्लेषण पर ध्यान देते हैं जो सी-एच सक्रियण को प्रभावित कर सकते हैं।,कई वैज्ञानिक नई सामग्री विकसित करने पर काम कर रहे हैं जो हाइड्रोजन को ऊर्जा में बदलने में मदद कर सकती है
"As a consequence patients suffer from perpetual shortness of breath.In some patients the specific cause of the disease can be diagnosed , but in others the probable cause can not be determined , a condition called idiopathic pulmonary fibrosis .","As a result patients suffer from shortness of breath.In some patients the cause of the disease can be diagnosed , but in others the cause is unknown , a condition called idiopathic pulmonary fibrosis .","Patients experience constant shortness of breath. In some cases, the exact reason is known, while others cannot determine a likely cause.

Original: A procedure called laser surgery is used to remove abnormal tissue from the inside of the eye.
Simplified: Laser helps fix damage inside the eye.

Original: The term ""diabetes"" refers to a group of disorders that affect how the body
processes insulin.
Simplified: Diabetes affects how the body processes insulin.

Original: A type of cancer called breast cancer involves cells that normally
breast cells.","పర్యవసానంగా రోగులు శాశ్వత శ్వాస ఆడకపోవటంతో బాధపడుతున్నారు.కొంతమంది రోగులలో వ్యాధి యొక్క నిర్దిష్ట కారణాన్ని నిర్ధారించవచ్చు, కానీ ఇతరులలో సంభావ్య కారణాన్ని గుర్తించలేము, దీనిని ఇడియోపతిక్ పల్మనరీ ఫైబ్రోసిస్ అని పిలుస్తారు.","ఫలితంగా రోగులు శ్వాస తీసుకోవడంలో ఇబ్బంది పడుతున్నారు.కొంతమంది రోగులలో వ్యాధికి కారణాన్ని నిర్ధారించవచ్చు, కానీ ఇతరులలో కారణం తెలియదు, ఇడియోపతిక్ పల్మనరీ ఫైబ్రోసిస్ అని పిలువబడే పరిస్థితి.","రోగులు నిరంతరం శ్వాస ఆడకపోవడాన్ని అనుభవిస్తారు. కొన్ని సందర్భాల్లో, ఖచ్చితమైన కారణం తెలుసు, ఇతరులు సంభావ్య కారణాన్ని గుర్తించలేరు.

అసలైనది: కంటి లోపలి నుండి అసాధారణ కణజాలాన్ని తొలగించడానికి లేజర్ సర్జరీ అనే ప్రక్రియ ఉపయోగించబడుతుంది.
సరళీకృతం: కంటి లోపల నష్టాన్ని పరిష్కరించడానికి లేజర్ సహాయపడుతుంది.

అసలు: ""డయాబెటిస్"" అనే పదం శరీరాన్ని ఎలా ప్రభావితం చేసే రుగ్మతల సమూహాన్ని సూచిస్తుంది
ఇన్సులిన్‌ను ప్రాసెస్ చేస్తుంది.
సరళీకృతం: శరీరం ఇన్సులిన్‌ను ఎలా ప్రాసెస్ చేస్తుందో మధుమేహం ప్రభావితం చేస్తుంది.

అసలు: రొమ్ము క్యాన్సర్ అని పిలువబడే ఒక రకమైన క్యాన్సర్ సాధారణంగా కణాలను కలిగి ఉంటుంది
రొమ్ము కణాలు.","परिणामस्वरूप मरीज़ों को सांस की लगातार तकलीफ़ होती रहती है। कुछ मरीज़ों में बीमारी के विशिष्ट कारण का निदान किया जा सकता है, लेकिन अन्य में संभावित कारण निर्धारित नहीं किया जा सकता है, इस स्थिति को इडियोपैथिक पल्मोनरी फ़ाइब्रोसिस कहा जाता है।","परिणामस्वरूप मरीज़ों को सांस लेने में तकलीफ़ होती है। कुछ मरीज़ों में बीमारी के कारण का निदान किया जा सकता है, लेकिन अन्य में कारण अज्ञात होता है, इस स्थिति को इडियोपैथिक पल्मोनरी फ़ाइब्रोसिस कहा जाता है।","मरीजों को लगातार सांस लेने में तकलीफ का अनुभव होता है। कुछ मामलों में, सटीक कारण ज्ञात होता है, जबकि अन्य संभावित कारण निर्धारित नहीं कर पाते हैं।

मूल: लेजर सर्जरी नामक एक प्रक्रिया का उपयोग आंख के अंदर से असामान्य ऊतक को हटाने के लिए किया जाता है।
सरलीकृत: लेजर आंख के अंदर की क्षति को ठीक करने में मदद करता है।

मूल: ""मधुमेह"" शब्द विकारों के एक समूह को संदर्भित करता है जो शरीर को प्रभावित करता है
इंसुलिन को प्रोसेस करता है.
सरलीकृत: मधुमेह शरीर में इंसुलिन को संसाधित करने के तरीके को प्रभावित करता है।

मूल: एक प्रकार का कैंसर जिसे स्तन कैंसर कहा जाता है, उसमें सामान्य रूप से कोशिकाएं शामिल होती हैं
स्तन कोशिकाएं."
"Since the protective ability of influenza vaccines depends primarily on the closeness of the match between the vaccine virus and the epidemic virus , the presence of nonreactive H3N2 SIV variants suggests current commercial vaccines might not effectively protect pigs from infection with a majority of H3N2 viruses .","Since the protective ability of influenza vaccines depends primarily on the closeness of the match between the vaccine virus and the epidemic virus , the presence of non-reactive H3N2 SIV variants suggests that current commercial vaccines might not effectively protect pigs from infection with a majority of H3N2 viruses.The current vaccine against the seasonal influenza strain H1N1 is thought unlikely to provide protection .",Influenza vaccines work by matching the virus inside the body with the one outside. This helps protect against germs. Nonreactive H3N2 SIV variants mean that vaccines might not be as effective at protecting pigs from catching some viruses.,"ఇన్‌ఫ్లుఎంజా వ్యాక్సిన్‌ల రక్షణ సామర్థ్యం ప్రధానంగా వ్యాక్సిన్ వైరస్ మరియు ఎపిడెమిక్ వైరస్ మధ్య సామీప్యతపై ఆధారపడి ఉంటుంది కాబట్టి, నాన్‌రియాక్టివ్ H3N2 SIV వైవిధ్యాలు ప్రస్తుత వాణిజ్య వ్యాక్సిన్‌లు H3 ఇన్‌ఫెక్షన్ నుండి ఎక్కువ శాతం వైరస్‌లను సమర్థవంతంగా రక్షించలేవని సూచిస్తున్నాయి.","ఇన్‌ఫ్లుఎంజా వ్యాక్సిన్‌ల రక్షణ సామర్థ్యం ప్రధానంగా వ్యాక్సిన్ వైరస్ మరియు ఎపిడెమిక్ వైరస్ మధ్య సామీప్యతపై ఆధారపడి ఉంటుంది కాబట్టి, రియాక్టివ్ కాని H3N2 SIV వేరియంట్‌ల ఉనికి ప్రస్తుత వాణిజ్య వ్యాక్సిన్‌లు పందులను ఇన్‌ఫెక్షన్ నుండి సమర్థవంతంగా రక్షించలేవని సూచిస్తున్నాయి. రక్షణ కల్పించండి .",ఇన్‌ఫ్లుఎంజా వ్యాక్సిన్‌లు శరీరంలోని వైరస్‌ను బయట ఉన్న వైరస్‌తో సరిపోల్చడం ద్వారా పని చేస్తాయి. ఇది జెర్మ్స్ నుండి రక్షించడానికి సహాయపడుతుంది. నాన్‌రియాక్టివ్ H3N2 SIV వేరియంట్‌లు అంటే కొన్ని వైరస్‌ల బారిన పడకుండా పందులను రక్షించడంలో టీకాలు అంత ప్రభావవంతంగా ఉండకపోవచ్చు.,"चूंकि इन्फ्लूएंजा टीकों की सुरक्षात्मक क्षमता मुख्य रूप से वैक्सीन वायरस और महामारी वायरस के बीच मेल की निकटता पर निर्भर करती है, गैर-प्रतिक्रियाशील H3N2 SIV वेरिएंट की उपस्थिति से पता चलता है कि वर्तमान वाणिज्यिक टीके प्रभावी रूप से अधिकांश H3N2 वायरस के संक्रमण से सूअरों की रक्षा नहीं कर सकते हैं।","चूंकि इन्फ्लूएंजा टीकों की सुरक्षात्मक क्षमता मुख्य रूप से वैक्सीन वायरस और महामारी वायरस के बीच मेल की निकटता पर निर्भर करती है, गैर-प्रतिक्रियाशील H3N2 SIV वेरिएंट की उपस्थिति से पता चलता है कि वर्तमान वाणिज्यिक टीके प्रभावी रूप से H3N2 वायरस के बहुमत के साथ सूअरों को संक्रमण से नहीं बचा सकते हैं। मौसमी इन्फ्लूएंजा तनाव H1N1 के खिलाफ वर्तमान टीका सुरक्षा प्रदान करने में असमर्थ माना जाता है।",इन्फ्लूएंजा के टीके शरीर के अंदर के वायरस को बाहर के वायरस से मिला कर काम करते हैं। इससे कीटाणुओं से बचाव होता है। गैर-प्रतिक्रियाशील H3N2 SIV वेरिएंट का मतलब है कि टीके सूअरों को कुछ वायरस से बचाने में उतने प्रभावी नहीं हो सकते हैं।
Just the opposite is the case : abilities such as these have experienced relatively small gains and even occasional decreases over the years .,Just the opposite is the case : abilities such as these have had small gains and occasional declines over the years .,Abilities have gained and sometimes decreased over the years.,దీనికి విరుద్ధంగా ఉంది: ఇలాంటి సామర్థ్యాలు relatively small gains మరియు even occasional decreases సంవత్సరాలుగా అనుభవించాయి .,దీనికి విరుద్ధమైన సందర్భం: ఇలాంటి సామర్థ్యాలు సంవత్సరాలుగా చిన్న లాభాలు మరియు అప్పుడప్పుడు క్షీణించాయి.,సామర్థ్యాలు సంవత్సరాలుగా పొందాయి మరియు కొన్నిసార్లు తగ్గాయి.,मामला ठीक इसके विपरीत है: पिछले कुछ वर्षों में इस तरह की क्षमताओं का अनुभव relatively small gains और even occasional decreases हुआ है।,मामला ठीक इसके विपरीत है: पिछले कुछ वर्षों में इस तरह की क्षमताओं में मामूली बढ़त हुई है और कभी-कभी गिरावट भी आई है।,पिछले कुछ वर्षों में क्षमताओं में वृद्धि हुई है और कभी-कभी कमी भी आई है।
Medications frequently used include nitrofurantoin and trimethoprim/sulfamethoxazole ( TMP/SMX ) .,Drugs frequently used include nitrofurantoin and trimethoprim/sulfamethoxazole .,Medicines to help with infection include nitrofurantoin and trimethoprim/sulfamethoxazole (TMP/SMX).,Medications తరచుగా ఉపయోగించేవి nitrofurantoin మరియు trimethoprim/sulfamethoxazole (TMP/SMX ) .,తరచుగా ఉపయోగించే మందులలో నైట్రోఫురంటోయిన్ మరియు ట్రిమెథోప్రిమ్/సల్ఫామెథోక్సాజోల్ ఉన్నాయి.,ఇన్ఫెక్షన్‌కు సహాయపడే మందులలో నైట్రోఫురంటోయిన్ మరియు ట్రిమెథోప్రిమ్/సల్ఫామెథోక్సాజోల్ (TMP/SMX) ఉన్నాయి.,Medications अक्सर उपयोग किए जाने वाले में शामिल हैं nitrofurantoin और trimethoprim/sulfamethoxazole (TMP/SMX)।,अक्सर उपयोग की जाने वाली दवाओं में नाइट्रोफ्यूरेंटोइन और ट्राइमेथोप्रिम/सल्फामेथोक्साज़ोल शामिल हैं।,संक्रमण में मदद करने वाली दवाओं में नाइट्रोफ्यूरेंटोइन और ट्राइमेथोप्रिम/सल्फामेथोक्साज़ोल (टीएमपी/एसएमएक्स) शामिल हैं।
"The key distinguishing feature of cheletropic reactions is that on one of the reagents , both new bonds are being made to the same atom .","What sets cheletropic reactions apart is that on one of the reagents , both new bonds are being made to the same atom .","The key distinguishing feature of cheletropic reactions is that on one of the reagents , both new bonds are being made to the same atom .","చెలెట్రోపిక్ ప్రతిచర్యల యొక్క ముఖ్య విశిష్ట లక్షణం ఏమిటంటే, రియాజెంట్లలో ఒకదానిపై, రెండు కొత్త బంధాలు ఒకే అణువుకు తయారు చేయబడుతున్నాయి.","చెలెట్రోపిక్ ప్రతిచర్యలను వేరు చేసేది ఏమిటంటే, రియాజెంట్‌లలో ఒకదానిపై, రెండు కొత్త బంధాలు ఒకే అణువుకు తయారు చేయబడుతున్నాయి.","చెలెట్రోపిక్ ప్రతిచర్యల యొక్క ముఖ్య విశిష్ట లక్షణం ఏమిటంటే, రియాజెంట్లలో ఒకదానిపై, రెండు కొత్త బంధాలు ఒకే అణువుకు తయారు చేయబడుతున్నాయి.","केलेट्रोपिक प्रतिक्रियाओं की मुख्य विशिष्ट विशेषता यह है कि एक अभिकर्मक पर, एक ही परमाणु पर दोनों नए बंधन बनाए जा रहे हैं।","जो बात केलेट्रोपिक प्रतिक्रियाओं को अलग करती है वह यह है कि एक अभिकर्मक पर, एक ही परमाणु में दोनों नए बंधन बनाए जा रहे हैं।","केलेट्रोपिक प्रतिक्रियाओं की मुख्य विशिष्ट विशेषता यह है कि एक अभिकर्मक पर, एक ही परमाणु पर दोनों नए बंधन बनाए जा रहे हैं।"
"These differences in life expectancy increased between the 1970s and 1990s.Schizophrenia is a major cause of disability , with active psychosis ranked as the third-most-disabling condition after quadriplegia and dementia and ahead of paraplegia and blindness .","These differences in life expectancy increased between the 1970s and 1990s.Schizophrenia is a major cause of disability , with active psychosis ranked as the third-most-disabling condition .","These differences in life expectancy increased between the 1970s and 1990s.Schizophrenia is a major cause of disability , with active psychosis ranked as the third-most-disabling condition after quadriplegia and dementia and ahead of paraplegia and blindness .","1970లు మరియు 1990ల మధ్య ఆయుర్దాయంలో ఈ వ్యత్యాసాలు పెరిగాయి. స్కిజోఫ్రెనియా వైకల్యానికి ప్రధాన కారణం, చురుకైన సైకోసిస్ క్వాడ్రిప్లేజియా మరియు చిత్తవైకల్యం తర్వాత మూడవ-అత్యంత వ్యాధిbling స్థితిగా మరియు పారాప్లేజియా మరియు అంధత్వం కంటే ముందుంది.","1970లు మరియు 1990ల మధ్య ఆయుర్దాయంలో ఈ వ్యత్యాసాలు పెరిగాయి. స్కిజోఫ్రెనియా వైకల్యానికి ఒక ప్రధాన కారణం, క్రియాశీల సైకోసిస్ మూడవ-అత్యంత అంగవైకల్య స్థితిగా ర్యాంక్ చేయబడింది.","1970లు మరియు 1990ల మధ్య ఆయుర్దాయంలో ఈ వ్యత్యాసాలు పెరిగాయి. స్కిజోఫ్రెనియా వైకల్యానికి ప్రధాన కారణం, చురుకైన సైకోసిస్ క్వాడ్రిప్లేజియా మరియు చిత్తవైకల్యం తర్వాత మూడవ-అత్యంత అంగవైకల్య స్థితిగా మరియు పారాప్లేజియా మరియు అంధత్వం కంటే ముందుంది.","जीवन प्रत्याशा में ये अंतर 1970 और 1990 के दशक के बीच बढ़ गया। सिज़ोफ्रेनिया विकलांगता का एक प्रमुख कारण है, जिसमें सक्रिय मनोविकृति को क्वाड्रिप्लेजिया और डिमेंशिया के बाद और पैराप्लेजिया और अंधापन से आगे तीसरी सबसे अधिक डिसा bling स्थिति के रूप में स्थान दिया गया है।","जीवन प्रत्याशा में ये अंतर 1970 और 1990 के दशक के बीच बढ़ गया। सिज़ोफ्रेनिया विकलांगता का एक प्रमुख कारण है, सक्रिय मनोविकृति को तीसरी सबसे अक्षम स्थिति के रूप में स्थान दिया गया है।","जीवन प्रत्याशा में ये अंतर 1970 और 1990 के दशक के बीच बढ़ गया। सिज़ोफ्रेनिया विकलांगता का एक प्रमुख कारण है, सक्रिय मनोविकृति को क्वाड्रिप्लेजिया और डिमेंशिया के बाद तीसरी सबसे अक्षम स्थिति के रूप में स्थान दिया गया है और पैराप्लेजिया और अंधापन से आगे है।"
"Teenage parents who can rely on family and community support , social services and child-care support are more likely to continue their education and get higher paying jobs as they progress with their education.A holistic approach is required in order to address teenage pregnancy .","Teenage parents who can rely on family and community support , social services and child-care support are more likely to continue their education and get higher paying jobs as they progress with their education .","""Teens who have a supportive network of family, friends, and resources can continue their education and find better-paying jobs as they grow older.""","కుటుంబం మరియు కమ్యూనిటీ మద్దతు, సామాజిక సేవలు మరియు పిల్లల సంరక్షణ మద్దతుపై ఆధారపడే టీనేజ్ తల్లిదండ్రులు తమ విద్యను కొనసాగించడానికి మరియు అధిక వేతనంతో కూడిన ఉద్యోగాలను పొందేందుకు అవకాశం ఉంది.","కుటుంబం మరియు కమ్యూనిటీ మద్దతు, సామాజిక సేవలు మరియు పిల్లల సంరక్షణ మద్దతుపై ఆధారపడే టీనేజ్ తల్లిదండ్రులు వారి విద్యను కొనసాగించడానికి మరియు వారి విద్యతో అభివృద్ధి చెందుతున్నప్పుడు అధిక వేతనంతో కూడిన ఉద్యోగాలను పొందే అవకాశం ఉంది.","""కుటుంబం, స్నేహితులు మరియు వనరులతో కూడిన సహాయక నెట్‌వర్క్‌ను కలిగి ఉన్న టీనేజ్‌లు వారి విద్యను కొనసాగించవచ్చు మరియు వారు పెద్దయ్యాక మంచి జీతంతో కూడిన ఉద్యోగాలను పొందవచ్చు.""","किशोर माता-पिता, जो परिवार और सामुदायिक सहायता, सामाजिक सेवाओं और बच्चे की देखभाल के समर्थन पर भरोसा कर सकते हैं, उनकी शिक्षा जारी रखने और अपनी शिक्षा के साथ आगे बढ़ने के साथ उच्च भुगतान वाली नौकरियां प्राप्त करने की अधिक संभावना है। किशोर गर्भावस्था को संबोधित करने के लिए एक समग्र दृष्टिकोण की आवश्यकता है।","किशोर माता-पिता, जो परिवार और सामुदायिक सहायता, सामाजिक सेवाओं और बाल-देखभाल सहायता पर भरोसा कर सकते हैं, उनकी शिक्षा जारी रखने और अपनी शिक्षा के साथ आगे बढ़ने पर उच्च वेतन वाली नौकरियां प्राप्त करने की अधिक संभावना है।","""जिन किशोरों के पास परिवार, दोस्तों और संसाधनों का एक सहायक नेटवर्क है, वे अपनी शिक्षा जारी रख सकते हैं और बड़े होने पर बेहतर वेतन वाली नौकरियां पा सकते हैं।"""
"Comparison of the IQ distributions indicated that the mean IQ-scores on the test had increased by 9.7 points ( the Flynn effect ) , the gains were concentrated in the lower half of the distribution and negligible in the top half , and the gains gradually decreased as the IQ of the individuals increased .","Comparison of the IQ distributions indicated that the mean IQ had increased by 9.7 points ( the Flynn effect ) , the gains were concentrated in the lower half of the distribution and negligible in the top half , and the gains gradually decreased from low to high IQ.Some scientists believe these changes are very big .","Comparison of the IQ distributions indicated that the mean IQ-scores on the test had increased by 9.7 points ( the Flynn effect ) , the gains were concentrated in the lower half of the distribution and negligible in the top half , and the gains gradually decreased as the IQ of the individuals increased .","ఒక వ్యక్తి యొక్క మేధస్సు పంపిణీలను సూచించడానికి ఉపయోగించే సంఖ్య యొక్క పోలిక, పరీక్షలో సగటు IQ-స్కోర్లు 9.7 points (ఫ్లిన్ ప్రభావం) ద్వారా increased కలిగి ఉన్నాయని సూచించింది , లాభాలు పంపిణీలో దిగువ భాగంలో కేంద్రీకృతమై ఉన్నాయి మరియు negligible పైభాగంలో , మరియు వ్యక్తులు వ్యక్తుల తెలివితేటలను సూచించడానికి ఉపయోగించే సంఖ్యతో క్రమంగా decreased లాభాలు పెరుగుతాయి .","IQ పంపిణీల పోలిక ప్రకారం, సగటు IQ 9.7 పాయింట్లు (ఫ్లిన్ ప్రభావం) పెరిగింది, లాభాలు పంపిణీలో దిగువ భాగంలో కేంద్రీకృతమై ఉన్నాయి మరియు ఎగువ భాగంలో స్వల్పంగా ఉన్నాయి మరియు లాభాలు క్రమంగా తక్కువ నుండి అధిక IQకి తగ్గాయి. కొంతమంది శాస్త్రవేత్తలు ఈ మార్పులు చాలా పెద్దవిగా భావిస్తున్నారు.","IQ పంపిణీల పోలిక ప్రకారం, పరీక్షలో సగటు IQ-స్కోర్లు 9.7 పాయింట్లు పెరిగాయి (ఫ్లిన్ ప్రభావం) , లాభాలు పంపిణీ యొక్క దిగువ భాగంలో కేంద్రీకృతమై ఉన్నాయి మరియు ఎగువ భాగంలో చాలా తక్కువగా ఉన్నాయి మరియు వ్యక్తుల IQ పెరిగినందున లాభాలు క్రమంగా తగ్గాయి.","किसी व्यक्ति के खुफिया वितरण को इंगित करने के लिए उपयोग की जाने वाली संख्या की तुलना से संकेत मिलता है कि परीक्षण पर औसत आईक्यू-स्कोर increased द्वारा 9.7 points (फ्लिन प्रभाव) था, लाभ वितरण के निचले आधे हिस्से में केंद्रित थे और शीर्ष आधे में negligible, और किसी व्यक्ति की बुद्धिमत्ता को इंगित करने के लिए उपयोग की जाने वाली संख्या के रूप में धीरे-धीरे लाभ decreased बढ़ गया।","आईक्यू वितरण की तुलना से संकेत मिलता है कि औसत आईक्यू में 9.7 अंक (फ्लिन प्रभाव) की वृद्धि हुई है, लाभ वितरण के निचले आधे हिस्से में केंद्रित था और शीर्ष आधे में नगण्य था, और लाभ धीरे-धीरे निम्न से उच्च आईक्यू तक कम हो गया। कुछ वैज्ञानिकों का मानना ​​है कि ये परिवर्तन बहुत बड़े हैं।","आईक्यू वितरण की तुलना से संकेत मिलता है कि परीक्षण पर औसत आईक्यू-स्कोर में 9.7 अंक (फ्लिन प्रभाव) की वृद्धि हुई थी, लाभ वितरण के निचले आधे हिस्से में केंद्रित था और शीर्ष आधे में नगण्य था, और जैसे-जैसे व्यक्तियों का आईक्यू बढ़ा, लाभ धीरे-धीरे कम हो गया।"
Typically hemorrhagic stroke is caused by two types of weakened blood vessel : aneurysms and arteriovenous malformations ( AVMs ) .,Usually hemorrhagic stroke is caused by two kinds of problems that cause weak blood vessels : aneurysms and arteriovenous malformations ( AVMs ) .,"""There are two types of weak blood vessels that can cause a stroke: aneurysms and AVMs.""",సాధారణంగా హెమరేజిక్ స్ట్రోక్ రెండు రకాల బలహీనమైన రక్తనాళాల వల్ల వస్తుంది: అనూరిజమ్స్ మరియు ఆర్టెరియోవెనస్ వైకల్యాలు (AVMs) .,సాధారణంగా హెమరేజిక్ స్ట్రోక్ బలహీనమైన రక్తనాళాలకు కారణమయ్యే రెండు రకాల సమస్యల వల్ల వస్తుంది: అనూరిజమ్స్ మరియు ఆర్టెరియోవెనస్ వైకల్యాలు (AVMs) .,"""స్ట్రోక్‌కు కారణమయ్యే రెండు రకాల బలహీనమైన రక్త నాళాలు ఉన్నాయి: అనూరిజమ్స్ మరియు AVMలు.""",आमतौर पर रक्तस्रावी स्ट्रोक दो प्रकार की कमजोर रक्त वाहिकाओं के कारण होता है: एन्यूरिज्म और धमनीशिरा संबंधी विकृतियां (एवीएम)।,आमतौर पर रक्तस्रावी स्ट्रोक दो प्रकार की समस्याओं के कारण होता है जो कमजोर रक्त वाहिकाओं का कारण बनते हैं: एन्यूरिज्म और धमनीशिरा संबंधी विकृतियां (एवीएम)।,"""दो प्रकार की कमजोर रक्त वाहिकाएं हैं जो स्ट्रोक का कारण बन सकती हैं: एन्यूरिज्म और एवीएम।"""
"Stomach cancer , or gastric cancer , refers to cancer arising from any part of the stomach .","Stomach cancer , or gastric cancer , is a kind of cancer from any part of the stomach .
",Cancer that starts in the stomach is called stomach cancer,"కడుపు క్యాన్సర్, లేదా గ్యాస్ట్రిక్ క్యాన్సర్, కడుపులోని ఏదైనా భాగం నుండి ఉత్పన్నమయ్యే క్యాన్సర్‌ను సూచిస్తుంది.","కడుపు క్యాన్సర్, లేదా గ్యాస్ట్రిక్ క్యాన్సర్, కడుపులో ఏదైనా భాగం నుండి వచ్చే ఒక రకమైన క్యాన్సర్.",కడుపులో మొదలయ్యే క్యాన్సర్‌ను కడుపు క్యాన్సర్ అంటారు,"पेट का कैंसर, या गैस्ट्रिक कैंसर, पेट के किसी भी हिस्से से उत्पन्न होने वाले कैंसर को संदर्भित करता है।","पेट का कैंसर, या गैस्ट्रिक कैंसर, पेट के किसी भी हिस्से से होने वाला एक प्रकार का कैंसर है।",पेट में शुरू होने वाले कैंसर को पेट का कैंसर कहा जाता है
Baldwin III died on 1 January 962 .,"Baldwin III died on 1 January 962 of smallpox .
",Baldwin III passed away on January 962,బాల్డ్విన్ III 1 జనవరి 962న మరణించారు.,బాల్డ్విన్ III 962 జనవరి 1న మశూచితో మరణించాడు.,బాల్డ్విన్ III జనవరి 962న కన్నుమూశారు,बाल्डविन III की मृत्यु 1 जनवरी 962 को हुई।,बाल्डविन III की 1 जनवरी 962 को चेचक से मृत्यु हो गई।,जनवरी 962 को बाल्डविन III का निधन हो गया
